date	close	x
03-Jan-09	50	1231006505
04-Jan-09	0	1231092905
05-Jan-09	0	1231179305
06-Jan-09	0	1231265705
07-Jan-09	0	1231352105
08-Jan-09	0	1231438505
09-Jan-09	700	1231524905
10-Jan-09	1550	1231611305
11-Jan-09	5300	1231697705
12-Jan-09	4601	1231784105
13-Jan-09	5778	1231870505
14-Jan-09	6300	1231956905
15-Jan-09	6911	1232043305
16-Jan-09	5900	1232129705
17-Jan-09	5500	1232216105
18-Jan-09	5050	1232302505
19-Jan-09	6100	1232388905
20-Jan-09	6575	1232475305
21-Jan-09	6150	1232561705
22-Jan-09	4250	1232648105
23-Jan-09	3500	1232734505
24-Jan-09	10750	1232820905
25-Jan-09	9750	1232907305
26-Jan-09	5800	1232993705
27-Jan-09	6300	1233080105
28-Jan-09	5150	1233166505
29-Jan-09	6100	1233252905
30-Jan-09	6650	1233339305
31-Jan-09	6450	1233425705
01-Feb-09	6900	1233512105
02-Feb-09	6350	1233598505
03-Feb-09	7436.52	1233684905
04-Feb-09	6300	1233771305
05-Feb-09	6050	1233857705
06-Feb-09	6450	1233944105
07-Feb-09	7498	1234030505
08-Feb-09	7700	1234116905
09-Feb-09	8600	1234203305
10-Feb-09	6350	1234289705
11-Feb-09	6900.04	1234376105
12-Feb-09	6100	1234462505
13-Feb-09	6200	1234548905
14-Feb-09	7050	1234635305
15-Feb-09	7000	1234721705
16-Feb-09	6150	1234808105
17-Feb-09	7400	1234894505
18-Feb-09	6200	1234980905
19-Feb-09	5850	1235067305
20-Feb-09	7200	1235153705
21-Feb-09	5500	1235240105
22-Feb-09	7100	1235326505
23-Feb-09	5350	1235412905
24-Feb-09	5550	1235499305
25-Feb-09	5350	1235585705
26-Feb-09	4800	1235672105
27-Feb-09	6150	1235758505
28-Feb-09	6900	1235844905
01-Mar-09	5650	1235931305
02-Mar-09	5200	1236017705
03-Mar-09	5700	1236104105
04-Mar-09	5300	1236190505
05-Mar-09	6550	1236276905
06-Mar-09	6300	1236363305
07-Mar-09	5550	1236449705
08-Mar-09	7150	1236536105
09-Mar-09	5650	1236622505
10-Mar-09	5250	1236708905
11-Mar-09	5400	1236795305
12-Mar-09	6050	1236881705
13-Mar-09	6450	1236968105
14-Mar-09	5800	1237054505
15-Mar-09	5550	1237140905
16-Mar-09	8900	1237227305
17-Mar-09	5750	1237313705
18-Mar-09	5500	1237400105
19-Mar-09	6800	1237486505
20-Mar-09	6500	1237572905
21-Mar-09	3850	1237659305
22-Mar-09	5300	1237745705
23-Mar-09	6600	1237832105
24-Mar-09	5250	1237918505
25-Mar-09	5800	1238004905
26-Mar-09	7050	1238091305
27-Mar-09	5500	1238177705
28-Mar-09	6950	1238264105
29-Mar-09	5600	1238350505
30-Mar-09	6250	1238436905
31-Mar-09	7250	1238523305
01-Apr-09	5350	1238609705
02-Apr-09	6000	1238696105
03-Apr-09	5650	1238782505
04-Apr-09	5650	1238868905
05-Apr-09	6450	1238955305
06-Apr-09	6600	1239041705
07-Apr-09	4950	1239128105
08-Apr-09	5200	1239214505
09-Apr-09	4950	1239300905
10-Apr-09	5150	1239387305
11-Apr-09	6450	1239473705
12-Apr-09	5750	1239560105
13-Apr-09	6750	1239646505
14-Apr-09	6350	1239732905
15-Apr-09	5600	1239819305
16-Apr-09	6150	1239905705
17-Apr-09	5750	1239992105
18-Apr-09	6232.51	1240078505
19-Apr-09	6400	1240164905
20-Apr-09	8100	1240251305
21-Apr-09	9700	1240337705
22-Apr-09	6050	1240424105
23-Apr-09	4000	1240510505
24-Apr-09	5650	1240596905
25-Apr-09	6100	1240683305
26-Apr-09	6200	1240769705
27-Apr-09	5250	1240856105
28-Apr-09	5850	1240942505
29-Apr-09	6150	1241028905
30-Apr-09	7600	1241115305
01-May-09	6150	1241201705
02-May-09	6200	1241288105
03-May-09	6399.94	1241374505
04-May-09	6210	1241460905
05-May-09	8100	1241547305
06-May-09	7350	1241633705
07-May-09	6050	1241720105
08-May-09	6100	1241806505
09-May-09	4550	1241892905
10-May-09	3100	1241979305
11-May-09	6050	1242065705
12-May-09	6350	1242152105
13-May-09	5850	1242238505
14-May-09	6800.01	1242324905
15-May-09	7249.99	1242411305
16-May-09	6200	1242497705
17-May-09	6250	1242584105
18-May-09	6200	1242670505
19-May-09	5000	1242756905
20-May-09	5200	1242843305
21-May-09	4450	1242929705
22-May-09	4150	1243016105
23-May-09	350	1243102505
24-May-09	4800	1243188905
25-May-09	5600	1243275305
26-May-09	5650	1243361705
27-May-09	6250	1243448105
28-May-09	5150	1243534505
29-May-09	8350	1243620905
30-May-09	5150	1243707305
31-May-09	5900	1243793705
01-Jun-09	3700	1243880105
02-Jun-09	4450	1243966505
03-Jun-09	4900	1244052905
04-Jun-09	1950	1244139305
05-Jun-09	2850	1244225705
06-Jun-09	1200	1244312105
07-Jun-09	200	1244398505
08-Jun-09	3600	1244484905
09-Jun-09	4700	1244571305
10-Jun-09	4150	1244657705
11-Jun-09	4650	1244744105
12-Jun-09	4550	1244830505
13-Jun-09	3700	1244916905
14-Jun-09	3500	1245003305
15-Jun-09	4100	1245089705
16-Jun-09	3650	1245176105
17-Jun-09	3850	1245262505
18-Jun-09	4050	1245348905
19-Jun-09	4350	1245435305
20-Jun-09	4200	1245521705
21-Jun-09	3750	1245608105
22-Jun-09	7000	1245694505
23-Jun-09	3800	1245780905
24-Jun-09	4398.98	1245867305
25-Jun-09	3700	1245953705
26-Jun-09	5450	1246040105
27-Jun-09	4250	1246126505
28-Jun-09	2600	1246212905
29-Jun-09	3800	1246299305
30-Jun-09	4495	1246385705
01-Jul-09	4250	1246472105
02-Jul-09	3600	1246558505
03-Jul-09	4200	1246644905
04-Jul-09	4450	1246731305
05-Jul-09	4000	1246817705
06-Jul-09	4550	1246904105
07-Jul-09	3150	1246990505
08-Jul-09	3950	1247076905
09-Jul-09	4050	1247163305
10-Jul-09	4100	1247249705
11-Jul-09	4200	1247336105
12-Jul-09	3800	1247422505
13-Jul-09	3800	1247508905
14-Jul-09	3600	1247595305
15-Jul-09	2300	1247681705
16-Jul-09	3450	1247768105
17-Jul-09	3250	1247854505
18-Jul-09	150	1247940905
19-Jul-09	2600	1248027305
20-Jul-09	3750	1248113705
21-Jul-09	9749.67	1248200105
22-Jul-09	3450	1248286505
23-Jul-09	3300	1248372905
24-Jul-09	3750	1248459305
25-Jul-09	2650	1248545705
26-Jul-09	650	1248632105
27-Jul-09	3200	1248718505
28-Jul-09	2200	1248804905
29-Jul-09	1600	1248891305
30-Jul-09	850	1248977705
31-Jul-09	600	1249064105
01-Aug-09	1150	1249150505
02-Aug-09	1500	1249236905
03-Aug-09	750	1249323305
04-Aug-09	2900	1249409705
05-Aug-09	4550	1249496105
06-Aug-09	4800	1249582505
07-Aug-09	3700	1249668905
08-Aug-09	9649.53	1249755305
09-Aug-09	4900	1249841705
10-Aug-09	4100	1249928105
11-Aug-09	3350	1250014505
12-Aug-09	3400	1250100905
13-Aug-09	4050	1250187305
14-Aug-09	3250	1250273705
15-Aug-09	1700	1250360105
16-Aug-09	1250	1250446505
17-Aug-09	850	1250532905
18-Aug-09	450	1250619305
19-Aug-09	750	1250705705
20-Aug-09	1200	1250792105
