date	close	x
28-Apr-14	57588744.87	1398708905
29-Apr-14	54813383.67	1398795305
30-Apr-14	58067924.63	1398881705
01-May-14	66817885.87	1398968105
02-May-14	67613336.9	1399054505
03-May-14	57272473.61	1399140905
04-May-14	60454277.69	1399227305
05-May-14	49715688.89	1399313705
06-May-14	73976945.07	1399400105
07-May-14	64829258.32	1399486505
08-May-14	62045179.74	1399572905
09-May-14	66022434.85	1399659305
10-May-14	70397415.47	1399745705
11-May-14	66022434.85	1399832105
12-May-14	69096596.76	1399918505
13-May-14	74817971.02	1400004905
14-May-14	66015856.78	1400091305
15-May-14	73057548.17	1400177705
16-May-14	80099239.56	1400264105
17-May-14	80539345.27	1400350505
18-May-14	67776279.63	1400436905
19-May-14	77898711	1400523305
20-May-14	78778922.42	1400609705
21-May-14	78338816.71	1400696105
22-May-14	73497653.88	1400782505
23-May-14	69536702.48	1400868905
24-May-14	87319120.1	1400955305
25-May-14	78483256.76	1401041705
26-May-14	87838876.77	1401128105
27-May-14	67048610.08	1401214505
28-May-14	91996930.1	1401300905
29-May-14	68088123.41	1401387305
30-May-14	84720336.76	1401473705
31-May-14	79003013.42	1401560105
01-Jun-14	93036443.44	1401646505
02-Jun-14	93036443.44	1401732905
03-Jun-14	97714253.44	1401819305
04-Jun-14	95115470.11	1401905705
05-Jun-14	75364716.75	1401992105
06-Jun-14	86494362.12	1402078505
07-Jun-14	89416468.95	1402164905
08-Jun-14	87663204.86	1402251305
09-Jun-14	79481305.74	1402337705
10-Jun-14	103442581.7	1402424105
11-Jun-14	85325519.39	1402510505
12-Jun-14	90585311.68	1402596905
13-Jun-14	98182789.44	1402683305
14-Jun-14	102858160.4	1402769705
15-Jun-14	108702374	1402856105
16-Jun-14	118637537.2	1402942505
17-Jun-14	104027003.1	1403028905
18-Jun-14	113768842.9	1403115305
19-Jun-14	101053501.6	1403201705
20-Jun-14	123807270.2	1403288105
21-Jun-14	126484184.1	1403374505
22-Jun-14	129161098.1	1403460905
23-Jun-14	105738101	1403547305
24-Jun-14	132507240.5	1403633705
25-Jun-14	124476498.7	1403720105
26-Jun-14	114438071.3	1403806505
27-Jun-14	125145727.1	1403892905
28-Jun-14	125145727.1	1403979305
29-Jun-14	145472743.4	1404065705
30-Jun-14	104506281.2	1404152105
01-Jul-14	115374934.4	1404238505
02-Jul-14	116210984.7	1404324905
03-Jul-14	111194683.2	1404411305
04-Jul-14	133768039.9	1404497705
05-Jul-14	127079637.9	1404584105
06-Jul-14	124571487.2	1404670505
07-Jul-14	116210984.7	1404756905
08-Jul-14	135440140.4	1404843305
09-Jul-14	132931989.7	1404929705
10-Jul-14	128751738.4	1405016105
11-Jul-14	125407537.4	1405102505
12-Jul-14	137948291.2	1405188905
13-Jul-14	132716120.7	1405275305
14-Jul-14	124959983.8	1405361705
15-Jul-14	118927432.8	1405448105
16-Jul-14	142195843.6	1405534505
17-Jul-14	147366601.5	1405620905
18-Jul-14	137025085.6	1405707305
19-Jul-14	148228394.5	1405793705
20-Jul-14	146504808.5	1405880105
21-Jul-14	128407155.7	1405966505
22-Jul-14	123236397.8	1406052905
23-Jul-14	125821776.7	1406139305
24-Jul-14	128407155.7	1406225705
25-Jul-14	135301499.6	1406312105
26-Jul-14	130395098.6	1406398505
27-Jul-14	149954363.4	1406484905
28-Jul-14	126669524.4	1406571305
29-Jul-14	138777640.7	1406657705
30-Jul-14	162993873.3	1406744105
31-Jul-14	143434608.5	1406830505
01-Aug-14	142503214.9	1406916905
02-Aug-14	157405511.9	1407003305
03-Aug-14	141571821.4	1407089705
04-Aug-14	125738130.8	1407176105
05-Aug-14	122943950.2	1407262505
06-Aug-14	142503214.9	1407348905
07-Aug-14	146228789.2	1407435305
08-Aug-14	157903329.1	1407521705
09-Aug-14	169672521.4	1407608105
10-Aug-14	175557117.5	1407694505
11-Aug-14	178499415.5	1407780905
12-Aug-14	177518649.5	1407867305
13-Aug-14	153980265	1407953705
14-Aug-14	166730223.3	1408040105
15-Aug-14	159864861.2	1408126505
16-Aug-14	167710989.3	1408212905
17-Aug-14	161826393.2	1408299305
18-Aug-14	171634053.4	1408385705
19-Aug-14	202037800	1408472105
20-Aug-14	187281346.3	1408558505
21-Aug-14	199134596.1	1408644905
22-Aug-14	190837321.3	1408731305
23-Aug-14	186096021.4	1408817705
24-Aug-14	194393296.2	1408904105
25-Aug-14	158833546.9	1408990505
26-Aug-14	196763946.2	1409076905
27-Aug-14	190837321.3	1409163305
28-Aug-14	214543820.8	1409249705
29-Aug-14	196763946.2	1409336105
30-Aug-14	203875896	1409422505
31-Aug-14	231138370.5	1409508905
01-Sep-14	204522695.7	1409595305
02-Sep-14	194978303.2	1409681705
03-Sep-14	216794057.4	1409768105
04-Sep-14	227701934.5	1409854505
05-Sep-14	203159211	1409940905
06-Sep-14	229065419.1	1410027305
07-Sep-14	223611480.6	1410113705
08-Sep-14	208613149.6	1410200105
09-Sep-14	179979972.2	1410286505
10-Sep-14	212703603.5	1410372905
11-Sep-14	220884511.3	1410459305
12-Sep-14	219521026.7	1410545705
13-Sep-14	241336780.9	1410632105
14-Sep-14	252083493	1410718505
15-Sep-14	219460923.3	1410804905
16-Sep-14	250600648.9	1410891305
17-Sep-14	280257530.5	1410977705
18-Sep-14	274326154.2	1411064105
19-Sep-14	240220740.4	1411150505
20-Sep-14	256532025.2	1411236905
21-Sep-14	259497713.4	1411323305
22-Sep-14	232806520	1411409705
23-Sep-14	223909455.6	1411496105
24-Sep-14	241703584.5	1411582505
25-Sep-14	241703584.5	1411668905
26-Sep-14	260177353.1	1411755305
27-Sep-14	220547690	1411841705
28-Sep-14	239501007.2	1411928105
29-Sep-14	237777978.3	1412014505
30-Sep-14	261900381.9	1412100905
01-Oct-14	249839180.1	1412187305
02-Oct-14	255008266.6	1412273705
03-Oct-14	242947064.8	1412360105
04-Oct-14	246393122.5	1412446505
05-Oct-14	306699131.5	1412532905
06-Oct-14	275684612.5	1412619305
07-Oct-14	260177353.1	1412705705
08-Oct-14	225716776.5	1412792105
09-Oct-14	247077560.3	1412878505
10-Oct-14	276657268.3	1412964905
11-Oct-14	248817543.1	1413051305
12-Oct-14	257517457.2	1413137705
13-Oct-14	266217371.3	1413224105
14-Oct-14	243597594.7	1413310505
15-Oct-14	255777474.4	1413396905
16-Oct-14	260997422.9	1413483305
17-Oct-14	233157697.8	1413569705
18-Oct-14	294057096.4	1413656105
19-Oct-14	233157697.8	1413742505
20-Oct-14	240117629.1	1413828905
21-Oct-14	243597594.7	1413915305
22-Oct-14	297537062.1	1414001705
23-Oct-14	255806390.9	1414088105
24-Oct-14	291583508.5	1414174505
25-Oct-14	271906093.8	1414260905
26-Oct-14	232551264.4	1414347305
27-Oct-14	266539526.2	1414433705
28-Oct-14	268328382.1	1414520105
29-Oct-14	257595246.8	1414606505
30-Oct-14	309472067.3	1414692905
31-Oct-14	336304905.5	1414779305
01-Nov-14	286216940.9	1414865705
02-Nov-14	293372364.4	1414952105
