date	close	x
28-Apr-14	0	1398708905
29-Apr-14	1	1398795305
30-Apr-14	2	1398881705
01-May-14	0	1398968105
02-May-14	1	1399054505
03-May-14	1	1399140905
04-May-14	1	1399227305
05-May-14	1	1399313705
06-May-14	2	1399400105
07-May-14	3	1399486505
08-May-14	0	1399572905
09-May-14	0	1399659305
10-May-14	1	1399745705
11-May-14	1	1399832105
12-May-14	1	1399918505
13-May-14	3	1400004905
14-May-14	0	1400091305
15-May-14	1	1400177705
16-May-14	0	1400264105
17-May-14	1	1400350505
18-May-14	1	1400436905
19-May-14	0	1400523305
20-May-14	1	1400609705
21-May-14	0	1400696105
22-May-14	2	1400782505
23-May-14	0	1400868905
24-May-14	0	1400955305
25-May-14	1	1401041705
26-May-14	1	1401128105
27-May-14	1	1401214505
28-May-14	0	1401300905
29-May-14	0	1401387305
30-May-14	1	1401473705
31-May-14	0	1401560105
01-Jun-14	1	1401646505
02-Jun-14	0	1401732905
03-Jun-14	3	1401819305
04-Jun-14	0	1401905705
05-Jun-14	2	1401992105
06-Jun-14	2	1402078505
07-Jun-14	2	1402164905
08-Jun-14	2	1402251305
09-Jun-14	1	1402337705
10-Jun-14	2	1402424105
11-Jun-14	1	1402510505
12-Jun-14	3	1402596905
13-Jun-14	2	1402683305
14-Jun-14	1	1402769705
15-Jun-14	1	1402856105
16-Jun-14	2	1402942505
17-Jun-14	4	1403028905
18-Jun-14	2	1403115305
19-Jun-14	0	1403201705
20-Jun-14	0	1403288105
21-Jun-14	0	1403374505
22-Jun-14	1	1403460905
23-Jun-14	0	1403547305
24-Jun-14	4	1403633705
25-Jun-14	0	1403720105
26-Jun-14	0	1403806505
27-Jun-14	0	1403892905
28-Jun-14	0	1403979305
29-Jun-14	0	1404065705
30-Jun-14	0	1404152105
01-Jul-14	2	1404238505
02-Jul-14	1	1404324905
03-Jul-14	1	1404411305
04-Jul-14	0	1404497705
05-Jul-14	2	1404584105
06-Jul-14	1	1404670505
07-Jul-14	3	1404756905
08-Jul-14	4	1404843305
09-Jul-14	1	1404929705
10-Jul-14	1	1405016105
11-Jul-14	1	1405102505
12-Jul-14	1	1405188905
13-Jul-14	1	1405275305
14-Jul-14	0	1405361705
15-Jul-14	2	1405448105
16-Jul-14	4	1405534505
17-Jul-14	2	1405620905
18-Jul-14	3	1405707305
19-Jul-14	1	1405793705
